"Company Name","Կազմակերպության Անվանումը"
"Sign Up",Գրանցվել
"User Name",Անուն
"Your Username","Ձեր Մուտքաբառը"
"First Name",Անուն
"Your First Name","Ձեր Անունը"
"Last Name",Ազգանունը
"Your Last Name","Ձեր Ազգանունը"
Email,"Էլեկտրոնային փոստի հասցեն"
"Your Email","Ձեր Email"
Phone,Հեռախոս
"Your Phone",Հեռախոս
Password,Գաղտնաբառը
"5 or more characters","5 կամ ավելի նիշերի"
"Confirm Password","Գաղտնաբառի Հաստատում"
Cancel,Չեղարկել
Close,Կողքին
"Forgot Password","Մոռացել Եք Գաղտնաբառը"
"Enter the email address and we will send you instructions.","Մուտքագրեք ձեր էլփոստի հասցեն և մենք կուղարկենք ձեզ հրահանգներ."
"Your email address","Ձեր էլփոստի հասցեն"
Send,Ուղարկել
OK,OK
"Log In",Մուտք
"email, user name or phone","էլեկտրոնային փոստի հասցեն, անունը կամ հեռախոսով"
"Forgot Password?","Մոռացել Եք Ձեր Գաղտնաբառը?"
"Company Name","Կազմակերպության Անվանումը"
"Sign Up",Գրանցվել
"User Name",Անուն
"Your Username","Ձեր Մուտքաբառը"
"First Name",Անուն
"Your First Name","Ձեր Անունը"
"Last Name",Ազգանունը
"Your Last Name","Ձեր Ազգանունը"
Email,"Էլեկտրոնային փոստի հասցեն"
"Your Email","Ձեր Email"
Phone,Հեռախոս
"Your Phone",Հեռախոս
Password,Գաղտնաբառը
"5 or more characters","5 կամ ավելի նիշերի"
"Confirm Password","Գաղտնաբառի Հաստատում"
Cancel,Չեղարկել
Close,Կողքին
"Forgot Password","Մոռացել Եք Գաղտնաբառը"
"Enter the email address and we will send you instructions.","Մուտքագրեք ձեր էլփոստի հասցեն և մենք կուղարկենք ձեզ հրահանգներ."
"Your email address","Ձեր էլփոստի հասցեն"
Send,Ուղարկել
OK,OK
"Log In",Մուտք
"email, user name or phone","էլեկտրոնային փոստի հասցեն, անունը կամ հեռախոսով"
"Forgot Password?","Մոռացել Եք Ձեր Գաղտնաբառը?"
"Please enter your email.","Խնդրում ենք մուտքագրել ձեր էլեկտրոնային փոստի հասցեն."
"Invalid email address.","Սխալ էլ-փոստի հասցեն."
"Please enter your login.","Խնդրում ենք, մուտքագրեք Ձեր լոգինը."
"Please enter your password.","Խնդրում ենք, մուտքագրեք Ձեր գաղտնաբառը."
Home,Տանը
Manage,Կառավարում
Categories,Աստիճան
Users,Օգտվողները
Groups,Խմբի
"Log Out","Դուրս գալ"
"New Story","Նոր Պատմություն"
Language,Լեզուն
Title,Անվանումը
Story,Պատմություն
Notes,Նշումներ
Save,Պահպանել
"not found !","չեն գտել !"
"New Category","Նոր Կարգի"
Category,Կատեգորիա
Description,Նկարագրություն
Add,Ավելացնել
"Edit Category","Խմբագրել Կատեգորիա"
Updated,Թարմացված
"Please enter your phone.","Խնդրում ենք մուտքագրել ձեր հեռախոսի."
"Please enter your username.","Խնդրում ենք, մուտքագրեք Ձեր լոգինը."
"Please enter your first name.","Խնդրում ենք մուտքագրել ձեր անունը."
"Please enter your last name.","Խնդրում ենք մուտքագրել Ձեր ազգանունը."
"This user name is already taken.","Այս անունը արդեն զբաղված է ։ "
check_username_message,check_username_message
"Password does not match.","Գաղտնաբառը չի համապատասխանում."
"This email is already registered.","Այս email արդեն գրանցվել է:"
