"Company Name","კომპანიის სახელი"
"Sign Up",დარეგისტრირდით
"User Name","მომხმარებლის სახელი"
"Your Username","თქვენი სახელი"
"First Name",სახელი
"Your First Name","თქვენი სახელი"
"Last Name",გვარი
"Your Last Name","თქვენი სახელი, გვარი"
Email,ელ-ფოსტა
"Your Email","თქვენი ელ"
Phone,ტელეფონი
"Your Phone","თქვენი ტელეფონი"
Password,პაროლი
"5 or more characters","5 ან მეტი სიმბოლო"
"Confirm Password","დაადასტურეთ პაროლი"
Cancel,გაუქმება
Close,Close
"Forgot Password","დაგავიწყდათ პაროლი"
"Enter the email address and we will send you instructions.","შეიყვანეთ ელექტრონული ფოსტის მისამართი და ჩვენ გამოგიგზავნით ინსტრუქციები."
"Your email address","თქვენი ელ-ფოსტის მისამართი"
Send,გაგზავნას
OK,OK
"Log In",შესვლა
"email, user name or phone","ელ, მომხმარებლის სახელი და ტელეფონის"
"Forgot Password?","დაგავიწყდათ პაროლი?"
